color
#924d23;
#DCC49F;
#edc1a3;
#f2c29f;
#ecc29b;
#edbc98;
#eab48d;
#e3aa86;
#ddb288;
#e0a37a;
#eba675;
#d39770;
#d2986a;
#d99b6d;
#d7a071;
#c88b60;
#da9761;
#d59767;
#c27c4e;
#c88054;
#b57958;
#ab6b3e;
#b26c45;
#8b4822;
#8a5336;
#784d26;
#e79e76;
#f7ba95;
#eebb9e;
#e7b089;
#e4a789;
#daad91;
#d59572;
#eaae84;
#e5a170;
#e2986a;
#cf946a;
#be814d;
#ecae87;
#eaab85;
#d6ad8f;
#e1a079;
#d49671;
#d49272;
#d48f65;
#da9775;
#985b3b;
#ca8864;
#7c462f;
#b76f49;
#b06140;
#85482e;
#904e38;
#9e5c35;
#874e40;
#955135;
#7c3e2f;
#673524;
#784d26;
